"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Onkologie LogicalModel MII Onkologie Mapping","Mapping: RIM Mapping"
"mii-lm-mvgenomseq-onkologie","mii-lm-mvgenomseq-onkologie","","","",0,*,"","","","null {[]} {[]}
","MII LM Modellvorhaben Genomsequenzierung Onkologie","MII LogicalModel Modellvorhaben Genomsequenzierung Onkologie","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Prioritaet","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Prioritaet","","","",0,1,"","","","code {[]} {[]}
","Priorität","Priorität der Studie, falls mehrere Studien empfohlen wurde. 1 ist höchste Priorität","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Prioritaet",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Variante","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Variante","","","",0,*,"","","","code {[]} {[]}
","Variante","interne VariantenID der Variante, die für die Studie relevant ist","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Variante",0,*,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung","","","",0,*,"","","","BackboneElement {[]} {[]}
","String","String","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.id","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.extension","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Identifier","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Identifier","","","",0,1,"","","","string {[]} {[]}
","Identifier","interner Identifikator der Therapieempfehlung","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Identifier",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.EmpfehlungTyp","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.EmpfehlungTyp","","","",0,1,"","","","code {[]} {[]}
","Typ der Empfehlung","Typ der Empfehlung (z.B. inlabel, offlabel, compassionate use, unknown, secondary preventive)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.EmpfehlungTyp",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Substanz","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Substanz","","","",0,*,"","","","code {[]} {[]}
","Substanzen","Substanzen, die empfohlen werden, nach ATC kodiert","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Substanz",0,*,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Evidenzgrad","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Evidenzgrad","","","",0,1,"","","","code {[]} {[]}
","Evidenzgrad","Evidenzgrad (m1A - m4, unbekannt)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Evidenzgrad",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Prioritaet","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Prioritaet","","","",0,1,"","","","code {[]} {[]}
","Priorität","Priorität der Therapieempfehlung, falls mehrere Empfehlungen gegeben wurden. 1 ist höchste Priorität","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Prioritaet",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Variante","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Variante","","","",0,*,"","","","code {[]} {[]}
","Variante","interne VariantenID der Variante, die für die Therapieempfehlung relevant ist","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.Variante",0,*,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.TherapeutischeStrategie","mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.TherapeutischeStrategie","","","",0,1,"","","","code {[]} {[]}
","Therapeutische Strategie","Therapeutische Strategie (z.B. zielgerichtete Therapie, Immuntherapie, Chemotherapie, supportive Therapie)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.Therapieempfehlung.TherapeutischeStrategie",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen","mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen","","","",0,*,"","","","BackboneElement {[]} {[]}
","Präventive Maßnahmen","Präventive Maßnahmen","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.id","mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.extension","mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.Identifier","mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.Identifier","","","",0,1,"","","","string {[]} {[]}
","Identifier","interner Identifikator der präventiven Maßnahme","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.Identifier",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.ArtUntersuchung","mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.ArtUntersuchung","","","",0,1,"","","","string {[]} {[]}
","Art der Untersuchung","Art der Untersuchung(z.B. Breast Imaging, MRI, MGR, US;Colonoscopy ; Esophago-gastro-duodenoscopy )","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.PraeventiveUntersuchungen.ArtUntersuchung",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup","mii-lm-mvgenomseq-onkologie.OnkologieFollowup","","","",0,*,"","","","BackboneElement {[]} {[]}
","Follow-up und Umsetzung der Therapieempfehlung","Follow-up und Umsetzung der Therapieempfehlung","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.id","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.extension","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Datum","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Datum","","","",1,1,"","","","date {[]} {[]}
","Datum","Datum des Follow-up","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Datum",1,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.MetachroneTumore","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.MetachroneTumore","","","",0,*,"","","","code {[]} {[]}
","Auftreten Metachroner Tumore","Auftreten metachroner Tumore ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.MetachroneTumore",0,*,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.MetachroneDiagnose","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.MetachroneDiagnose","","","",1,1,"","","","code {[]} {[]}
","Diagnose","Diagnose des metachronen Tumors laut ICD-10","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.MetachroneDiagnose",1,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.ECOG","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.ECOG","","","",0,1,"","","","code {[]} {[]}
","ECOG-Status","Eastern Cooperative Oncology Group (ECOG) Performance Status nach 0,1,2,3,4,5,unknown, not applicable","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.ECOG",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Vitalstatus","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Vitalstatus","","","",1,1,"","","","code {[]} {[]}
","Vitalstatus","Vitalstatus des Patienten zum Zeitpunkt des Follow-ups (lebend, verstorben, unbekannt)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Vitalstatus",1,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.LetzterKontakt","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.LetzterKontakt","","","",0,1,"","","","date {[]} {[]}
","Letzter Kontakt","Datum des letzten Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.LetzterKontakt",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Todesdatum","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Todesdatum","","","",0,1,"","","","date {[]} {[]}
","Todesdatum","Datum des Todes","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Todesdatum",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien","","","",0,*,"","","","BackboneElement {[]} {[]}
","Therapien","Therapien","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.id","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.extension","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.reference","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.reference","","","",1,1,"","","","string {[]} {[]}
","Referenz Studien-/ Therapieempfehlung","Referenz auf Studien- / Therapieempfehlung","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.reference",1,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieStart","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieStart","","","",0,1,"","","","date {[]} {[]}
","Startdatum","Startdatum der Therapie","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieStart",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieEnde","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieEnde","","","",0,1,"","","","date {[]} {[]}
","Enddatum","Enddatum der Therapie","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieEnde",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieWirkstoff","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieWirkstoff","","","",0,*,"","","","code {[]} {[]}
","Wirkstoff","Wirkstoff der Therapie nach ATC oder Text bei nicht-ATC-Wirkstoffen","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieWirkstoff",0,*,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieAnsprechen","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieAnsprechen","","","",0,1,"","","","code {[]} {[]}
","Ansprechen","Therapieansprechen der Therapie (PD: Progression, SD:Stabile Erkrankung, PR:Partielle Remission, CR:Komplette Remission)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieAnsprechen",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieAnsprechenDatum","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieAnsprechenDatum","","","",0,1,"","","","date {[]} {[]}
","Datum","Datum des Ansprechens der Vortherapie","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieAnsprechenDatum",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieEndeGrund","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieEndeGrund","","","",0,1,"","","","code {[]} {[]}
","Ende der Therapie","Grund für das Ende der Vortherapie","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.TherapieEndeGrund",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.DatenquelleTherapieansprechen","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.DatenquelleTherapieansprechen","","","",1,1,"","","","string {[]} {[]}
","Datenquelle Therapieansprechen","Datenquelle des Therapieansprechens (z.B. Arztbrief, Entlassungsbericht, Tumordokumentation)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.Therapien.DatenquelleTherapieansprechen",1,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.PraeventiveMassnahmen","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.PraeventiveMassnahmen","","","",0,*,"","","","BackboneElement {[]} {[]}
","Präventive Maßnahmen","Präventive Maßnahmen","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.PraeventiveMassnahmen",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.PraeventiveMassnahmen.id","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.PraeventiveMassnahmen.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.PraeventiveMassnahmen.extension","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.PraeventiveMassnahmen.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFollowup.PraeventiveMassnahmen.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieFollowup.PraeventiveMassnahmen.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
